"Call No","Taken Date","Closed Date","Closed Year","Days With APT","Days With Customer","Total Days","Chargeable","Project Work","Quote Time","Quote Amount","Time Hours Estimated","Time Hours Total","Net Time"
"158258","2013-01-09","2013-10-23","2013","170","35","205","N","N","0","0","0.00","0.74","-1"
"158259","2013-01-09","2013-02-22","2013","31","1","32","N","N","0","0","0.00","3.31","-3"
"158260","2013-01-09","2013-01-10","2013","1","0","1","N","N","0","0","0.00","0.33","-0"
"158261","2013-01-09","2013-01-14","2013","0","3","3","N","N","0","0","0.00","1.16","-1"
"158262","2013-01-10","2013-02-20","2013","1","28","29","U","","0","0","0.00","1.08","-1"
"158263","2013-01-10","2013-01-11","2013","0","1","1","U","","0","0","0.00","0.41","-0"
"158264","2013-01-10","2013-01-15","2013","3","0","3","N","N","0","0","0.00","3.50","-4"
"158265","2013-01-10","2013-05-15","2013","87","2","89","N","N","0","0","0.00","1.63","-2"
"158266","2013-01-10","2013-01-10","2013","0","0","0","N","N","0","0","0.00","0.25","-0"
"158267","2013-01-10","2013-02-12","2013","20","3","23","Y","","3","330","0.00","2.23","-2"
"158268","2013-01-10","2013-02-25","2013","21","11","32","Y","","2","220","0.00","1.39","-1"
"158269","2013-01-10","2013-01-24","2013","3","7","10","N","N","0","0","0.00","0.58","-1"
"158270","2013-01-10","2013-02-21","2013","29","1","30","Y","","4","695","0.00","0.16","-0"
"158271","2013-01-10","2013-01-11","2013","0","1","1","N","N","0","0","0.00","0.58","-1"
"158272","2013-01-10","2013-01-14","2013","2","0","2","N","N","0","0","0.00","0.32","-0"
"158273","2013-01-10","2013-01-15","2013","3","0","3","N","N","0","0","0.00","1.74","-2"
"158274","2013-01-10","2013-01-11","2013","1","0","1","U","","0","0","0.00","0.91","-1"
"158275","2013-01-10","2013-01-28","2013","3","9","12","N","N","0","0","0.00","0.25","-0"
"158276","2013-01-10","2014-02-10","2014","282","0","282","N","N","0","0","0.00","227.34","-227"
"158277","2013-01-10","2013-03-27","2013","54","0","54","N","N","0","0","0.00","7.29","-7"
"158278","2013-01-10","2013-01-10","2013","0","0","0","N","N","0","0","0.00","0.00","0"
"158279","2013-01-11","2013-03-18","2013","23","23","46","Y","N","1","100","0.00","1.23","-1"
"158280","2013-01-11","2013-02-27","2013","0","33","33","N","N","0","0","0.00","0.41","-0"
"158281","2013-01-11","2013-01-22","2013","7","0","7","U","","0","0","0.00","0.90","-1"
"158282","2013-01-11","2013-01-16","2013","2","1","3","N","N","0","0","0.00","3.57","-4"
"158283","2013-01-11","2013-01-15","2013","0","2","2","U","","0","0","0.00","0.41","-0"
"158284","2013-01-11","2013-01-11","2013","0","0","0","N","N","0","0","0.00","0.33","-0"
"158285","2013-01-11","2013-02-07","2013","17","2","19","Y","N","1","110","0.00","1.88","-2"
"158286","2013-01-11","2013-03-04","2013","0","36","36","U","","0","0","0.00","0.65","-1"
"158287","2013-01-11","2013-01-14","2013","1","0","1","N","N","0","0","0.00","0.74","-1"
"158288","2013-01-11","2013-01-11","2013","0","0","0","N","N","0","0","0.00","0.57","-1"
"158289","2013-01-14","2013-01-14","2013","0","0","0","U","","0","0","0.00","0.50","-0"
"158290","2013-01-14","2013-05-22","2013","4","88","92","N","N","0","0","0.00","2.65","-3"
"158291","2013-01-14","2013-01-15","2013","1","0","1","N","N","0","0","0.00","0.74","-1"
"158292","2013-01-14","2013-02-12","2013","15","6","21","N","N","0","0","0.00","0.25","-0"
"158293","2013-01-14","2013-03-15","2013","25","19","44","N","N","0","0","0.00","2.08","-2"
"158294","2013-01-14","2013-02-06","2013","0","17","17","N","N","0","0","0.00","1.33","-1"
"158299","2013-01-14","2013-06-18","2013","111","0","111","Y","N","0","0","0.00","1.21","-1"
"158300","2013-01-14","2013-01-14","2013","0","0","0","R","N","1","110","0.00","0.00","0"
"158301","2013-01-14","2013-04-24","2013","39","33","72","N","N","0","0","0.00","5.08","-5"
"158302","2013-01-14","2013-01-16","2013","2","0","2","R","N","1","886","0.00","0.25","-0"
"158303","2013-01-14","2013-01-24","2013","8","0","8","Y","N","1","1,328","0.00","1.41","-1"
"158304","2013-01-14","2013-01-14","2013","0","0","0","U","","0","0","0.00","0.82","-1"
"158305","2013-01-14","2013-02-07","2013","17","1","18","Y","N","2","220","0.00","2.82","-3"
"158306","2013-01-14","2013-02-27","2013","0","32","32","N","","0","0","0.00","0.00","0"
"158307","2013-01-14","2013-01-23","2013","7","0","7","N","N","0","0","0.00","1.07","-1"
"158308","2013-01-14","2013-01-15","2013","1","0","1","N","N","0","0","0.00","3.99","-4"
"158309","2013-01-14","2013-03-11","2013","2","38","40","R","","1","110","0.00","0.99","-1"
"158310","2013-01-14","2013-01-15","2013","0","1","1","U","","0","0","0.00","0.16","-0"
"158311","2013-01-14","2013-01-22","2013","6","0","6","U","","0","0","0.00","0.00","0"
"158312","2013-01-15","2013-03-27","2013","32","19","51","U","","0","0","0.00","1.40","-1"
"158313","2013-01-15","2013-01-15","2013","0","0","0","N","N","0","0","0.00","0.33","-0"
"158314","2013-01-15","2013-04-10","2013","27","34","61","N","N","0","0","0.00","1.32","-1"
"158315","2013-01-15","2013-01-15","2013","0","0","0","N","N","0","0","0.00","0.50","-0"
"158316","2013-01-15","2013-01-17","2013","0","2","2","U","","0","0","0.00","0.66","-1"
"158317","2013-01-15","2013-01-28","2013","0","9","9","N","N","0","0","0.00","0.08","-0"
"158318","2013-01-15","2013-01-15","2013","0","0","0","N","N","0","0","0.00","0.08","-0"
"158319","2013-01-15","2013-01-15","2013","0","0","0","N","N","0","0","0.00","0.25","-0"
"158320","2013-01-15","2013-03-13","2013","6","35","41","N","N","0","0","0.00","1.57","-2"
"158321","2013-01-15","2013-01-29","2013","3","7","10","Y","N","0","480","0.00","0.33","-0"
"158322","2013-01-15","2013-01-17","2013","2","0","2","N","N","0","0","0.00","1.07","-1"
"158323","2013-01-15","2013-03-06","2013","20","16","36","N","N","0","0","0.00","0.90","-1"
"158324","2013-01-15","2013-02-06","2013","15","1","16","N","N","0","0","0.00","0.74","-1"
"158325","2013-01-15","2013-04-03","2013","23","33","56","N","N","0","0","0.00","1.25","-1"
"158326","2013-01-15","2013-01-28","2013","9","0","9","N","N","0","0","0.00","0.08","-0"
"158327","2013-01-15","2013-01-15","2013","0","0","0","U","","0","0","0.00","0.33","-0"
"158328","2013-01-15","2013-01-17","2013","2","0","2","Y","N","1","819","0.00","0.00","0"
"158329","2013-01-15","2013-01-17","2013","2","0","2","N","N","0","0","0.00","1.65","-2"
"158330","2013-01-15","2013-01-24","2013","3","4","7","Y","N","3","330","0.00","2.00","-2"
"158331","2013-01-16","2013-08-28","2013","148","12","160","Y","","0","5,000","0.00","127.19","-127"
"158332","2013-01-16","2013-01-16","2013","0","0","0","N","","0","0","0.00","0.58","-1"
"158333","2013-01-16","2013-01-24","2013","6","0","6","Y","","0","346","0.00","0.00","0"
"158334","2013-01-16","2013-01-24","2013","2","4","6","U","","0","0","0.00","0.33","-0"
"158335","2013-01-16","2013-03-14","2013","19","22","41","Y","N","1","110","0.00","2.63","-3"
"158336","2013-01-16","2013-02-20","2013","0","25","25","N","N","0","0","0.00","1.00","-1"
"158337","2013-01-16","2013-01-16","2013","0","0","0","N","N","0","0","0.00","0.33","-0"
"158338","2013-01-16","2013-02-15","2013","22","0","22","U","","0","0","0.00","1.74","-2"
"158339","2013-01-16","2013-01-17","2013","1","0","1","N","N","0","0","0.00","0.40","-0"
"158340","2013-01-16","2013-04-19","2013","32","35","67","Y","N","9","990","0.00","7.37","-7"
"158341","2013-01-16","2013-01-24","2013","6","0","6","Y","N","1","982","0.00","38.79","-39"
"158342","2013-01-16","2013-01-18","2013","0","2","2","N","N","0","0","0.00","0.25","-0"
"158343","2013-01-16","2013-01-21","2013","0","3","3","U","","0","0","0.00","0.58","-1"
"158344","2013-01-16","2013-02-11","2013","3","15","18","R","N","0","0","0.00","2.66","-3"
"158345","2013-01-16","2013-01-21","2013","0","3","3","U","","0","0","0.00","1.08","-1"
"158346","2013-01-16","2014-01-27","2014","198","70","268","Y","N","0","10,620","0.00","7.75","-8"
"158347","2013-01-16","2013-01-17","2013","0","1","1","N","N","0","0","0.00","0.41","-0"
"158348","2013-01-17","2013-03-07","2013","24","11","35","R","","1","110","0.00","1.05","-1"
"158349","2013-01-17","2013-03-21","2013","3","42","45","N","","0","0","0.00","2.99","-3"
"158350","2013-01-17","2013-02-28","2013","2","28","30","U","","0","0","0.00","3.74","-4"
"158351","2013-01-17","2013-01-31","2013","0","10","10","N","N","0","0","0.00","0.33","-0"
"158352","2013-01-17","2013-01-21","2013","1","1","2","U","","0","0","0.00","1.16","-1"
"158353","2013-01-17","2013-03-27","2013","16","33","49","U","","0","0","0.00","0.99","-1"
"158354","2013-01-17","2013-09-25","2013","157","22","179","U","","0","0","0.00","2.13","-2"
"158355","2013-01-17","2013-01-17","2013","0","0","0","U","","0","0","0.00","0.00","0"
"158356","2013-01-17","2013-04-16","2013","49","14","63","U","","0","0","0.00","3.64","-4"
"158357","2013-01-17","2013-02-12","2013","15","3","18","Y","N","1","110","0.00","4.07","-4"
"158358","2013-01-17","2014-04-14","2014","322","0","322","R","N","0","0","0.00","0.00","0"
"158359","2013-01-17","2013-09-16","2013","172","0","172","R","N","0","0","0.00","0.00","0"
"158360","2013-01-17","2013-09-16","2013","172","0","172","R","N","0","0","0.00","0.00","0"
"158361","2013-01-17","2013-09-16","2013","172","0","172","R","N","1","110","0.00","0.00","0"
"158362","2013-01-17","2013-09-16","2013","172","0","172","N","N","0","0","0.00","0.00","0"
"158363","2013-01-17","2013-05-02","2013","75","0","75","N","N","0","0","0.00","0.00","0"
"158364","2013-01-17","2013-05-02","2013","75","0","75","N","N","0","0","0.00","0.00","0"
"158365","2013-01-17","2013-01-17","2013","0","0","0","N","N","0","0","0.00","1.07","-1"
"158366","2013-01-17","2013-02-27","2013","0","29","29","N","N","0","0","0.00","0.16","-0"
"158367","2013-01-17","2013-01-17","2013","0","0","0","N","N","0","0","0.00","0.16","-0"
"158368","2013-01-17","2014-12-10","2014","28","102","130","N","N","0","0","0.00","3.73","-4"
"158369","2013-01-17","2014-02-18","2014","186","63","249","N","N","0","0","0.00","4.37","-4"
"158370","2013-01-17","2013-01-24","2013","5","0","5","Y","N","0","0","0.00","0.00","0"
"158371","2013-01-18","2013-02-20","2013","0","23","23","U","","0","0","0.00","0.50","-0"
"158372","2013-01-18","2013-01-18","2013","0","0","0","N","N","0","0","0.00","0.25","-0"
"158373","2013-01-18","2013-08-28","2013","0","158","158","U","","0","0","0.00","0.56","-1"
"158374","2013-01-18","2013-09-17","2013","172","0","172","U","Y","0","0","0.00","110.36","-110"
"158375","2013-01-18","2013-02-21","2013","17","7","24","Y","N","1","100","0.00","0.66","-1"
"158376","2013-01-18","2013-01-18","2013","0","0","0","N","N","0","0","0.00","0.32","-0"
"158377","2013-01-18","2013-09-19","2013","174","0","174","N","N","0","0","0.00","10.91","-11"
"158378","2013-01-18","2013-01-21","2013","0","1","1","U","","0","0","0.00","0.41","-0"
"158379","2013-01-21","2013-02-28","2013","21","7","28","Y","","4","400","0.00","10.63","-11"
"158380","2013-01-21","2013-05-28","2013","16","75","91","Y","","1","100","0.00","3.02","-3"
"158381","2013-01-21","2013-02-13","2013","7","10","17","Y","","3","300","0.00","4.89","-5"
"158382","2013-01-21","2013-02-07","2013","7","6","13","Y","","1","110","0.00","2.39","-2"
"158383","2013-01-21","2013-01-21","2013","0","0","0","U","","0","0","0.00","0.33","-0"
"158384","2013-01-21","2013-01-21","2013","0","0","0","N","N","0","0","0.00","0.33","-0"
"158385","2013-01-21","2013-01-21","2013","0","0","0","U","","0","0","0.00","0.50","-0"
"158386","2013-01-21","2013-04-08","2013","13","42","55","R","N","3","330","0.00","0.81","-1"
"158387","2013-01-21","2013-02-14","2013","11","7","18","Y","N","3","330","0.00","4.32","-4"
"158388","2013-01-21","2013-01-21","2013","0","0","0","N","N","0","0","0.00","0.00","0"
"158389","2013-01-21","2013-01-22","2013","1","0","1","U","","0","0","0.00","0.91","-1"
"158390","2013-01-21","2013-02-08","2013","14","0","14","N","N","0","0","0.00","1.07","-1"
"158391","2013-01-21","2013-03-27","2013","12","35","47","U","","0","0","0.00","0.00","0"
"158392","2013-01-21","2013-01-23","2013","0","2","2","N","N","0","0","0.00","0.50","-0"
"158393","2013-01-21","2013-03-11","2013","35","0","35","N","","0","0","0.00","0.00","0"
"158394","2013-01-21","2013-01-21","2013","0","0","0","U","","0","0","0.00","0.25","-0"
"158395","2013-01-21","2013-01-30","2013","6","1","7","U","","0","0","0.00","4.30","-4"
"158396","2013-01-21","2013-01-22","2013","1","0","1","U","","0","0","0.00","0.74","-1"
"158397","2013-01-21","2013-01-21","2013","0","0","0","U","","0","0","0.00","0.00","0"
"158402","2013-01-21","2013-01-21","2013","0","0","0","N","N","0","0","0.00","0.00","0"
"158404","2013-01-22","2013-01-23","2013","1","0","1","U","","0","0","0.00","0.49","-0"
"158405","2013-01-22","2013-03-08","2013","30","3","33","U","","0","0","0.00","5.80","-6"
"158406","2013-01-22","2013-04-23","2013","19","46","65","N","N","0","0","0.00","1.98","-2"
"158407","2013-01-22","2013-01-24","2013","2","0","2","Y","Y","0","8,594","0.00","0.00","0"
"158408","2013-01-22","2013-01-22","2013","0","0","0","U","","0","0","0.00","0.33","-0"
"158409","2013-01-22","2013-09-12","2013","167","0","167","Y","Y","0","6,875","0.00","0.00","0"
"158410","2013-01-22","2013-09-30","2013","179","0","179","Y","Y","0","1,719","0.00","0.00","0"
"158411","2013-01-22","2013-01-23","2013","1","0","1","N","N","0","0","0.00","0.33","-0"
"158412","2013-01-22","2013-09-17","2013","170","0","170","U","Y","0","0","0.00","4.25","-4"
"158413","2013-01-22","2013-01-23","2013","1","0","1","U","Y","0","0","0.00","1.24","-1"
"158414","2013-01-22","2013-09-17","2013","170","0","170","U","Y","0","0","0.00","4.25","-4"
"158415","2013-01-22","2013-07-22","2013","125","4","129","Y","N","3","300","0.00","5.22","-5"
"158416","2013-01-22","2013-01-22","2013","0","0","0","U","","0","0","0.00","0.25","-0"
"158417","2013-01-22","2013-01-22","2013","0","0","0","U","","0","0","0.00","0.33","-0"
"158418","2013-01-22","2013-02-19","2013","1","19","20","Y","N","2","1,760","0.00","0.00","0"
"158419","2013-01-22","2013-01-22","2013","0","0","0","U","","0","0","0.00","0.25","-0"
"158420","2013-01-22","2013-01-24","2013","2","0","2","Y","Y","30","3,400","0.00","26.80","-27"
"158421","2013-01-22","2013-02-12","2013","13","2","15","Y","N","2","220","0.00","0.00","0"
"158422","2013-01-22","2013-01-22","2013","0","0","0","U","N","0","0","0.00","0.58","-1"
"158423","2013-01-22","2013-03-13","2013","4","32","36","U","","0","0","0.00","1.24","-1"
"158424","2013-01-23","2013-02-28","2013","4","22","26","U","","0","0","0.00","1.74","-2"
"158425","2013-01-23","2013-01-23","2013","0","0","0","N","N","0","0","0.00","0.08","-0"
"158426","2013-01-23","2013-02-05","2013","0","9","9","N","N","0","0","0.00","0.08","-0"
"158427","2013-01-23","2013-02-20","2013","0","20","20","N","N","0","0","0.00","0.83","-1"
"158428","2013-01-23","2013-01-23","2013","0","0","0","N","N","0","0","0.00","0.33","-0"
"158429","2013-01-23","2013-03-13","2013","0","35","35","N","N","0","0","0.00","2.49","-2"
"158430","2013-01-23","2013-02-20","2013","0","20","20","N","N","0","0","0.00","0.41","-0"
"158431","2013-01-23","2013-05-22","2013","3","82","85","U","N","0","0","0.00","0.33","-0"
"158432","2013-01-23","2013-01-23","2013","0","0","0","N","N","0","0","0.00","0.91","-1"
"158433","2013-01-23","2013-01-30","2013","5","0","5","U","","0","0","0.00","0.82","-1"
"158434","2013-01-23","2013-01-23","2013","0","0","0","N","N","0","0","0.00","0.33","-0"
"158435","2013-01-23","2013-01-31","2013","0","6","6","U","","0","0","0.00","0.25","-0"
"158436","2013-01-23","2013-03-27","2013","0","45","45","N","N","0","0","0.00","0.16","-0"
"158437","2013-01-23","2013-02-21","2013","6","15","21","U","","0","0","0.00","2.22","-2"
"158438","2013-01-23","2013-02-07","2013","0","11","11","U","","0","0","0.00","0.33","-0"
"158439","2013-01-23","2013-03-13","2013","0","35","35","N","N","0","0","0.00","0.74","-1"
"158440","2013-01-23","2013-12-23","2013","238","0","238","Y","Y","0","1,000","0.00","0.00","0"
"158441","2013-01-23","2013-03-15","2013","37","0","37","U","Y","0","0","0.00","0.00","0"
"158442","2013-01-24","2013-01-25","2013","0","1","1","U","","0","0","0.00","0.25","-0"
"158443","2013-01-24","2013-02-28","2013","24","1","25","Y","","1","100","0.00","1.48","-1"
"158444","2013-01-24","2013-11-06","2013","204","0","204","N","N","0","0","0.00","0.73","-1"
"158445","2013-01-24","2013-02-05","2013","8","0","8","N","N","0","0","0.00","4.13","-4"
"158446","2013-01-24","2013-01-24","2013","0","0","0","N","N","0","0","0.00","1.57","-2"
"158447","2013-01-24","2013-01-25","2013","1","0","1","Y","N","1","830","0.00","0.00","0"
"158448","2013-01-24","2013-05-13","2013","46","31","77","U","","0","0","0.00","2.65","-3"
"158449","2013-01-24","2013-01-25","2013","1","0","1","N","N","0","0","0.00","0.66","-1"
"158450","2013-01-24","2013-06-17","2013","102","0","102","Y","N","0","10,000","0.00","7.35","-7"
"158451","2013-01-24","2013-06-17","2013","102","0","102","Y","N","0","2,500","0.00","0.00","0"
"158452","2013-01-24","2015-06-02","2015","228","0","228","N","N","0","0","2.00","4.91","-3"
"158453","2013-01-24","2013-02-01","2013","5","1","6","R","N","3","330","0.00","7.56","-8"
"158454","2013-01-24","2013-01-24","2013","0","0","0","N","N","0","0","0.00","0.00","0"
"158455","2013-01-24","2013-06-06","2013","95","0","95","U","Y","0","0","0.00","0.00","0"
"158456","2013-01-24","2013-07-16","2013","123","0","123","Y","Y","0","500","0.00","0.00","0"
"158457","2013-01-24","2013-07-16","2013","123","0","123","Y","Y","0","2,000","0.00","0.00","0"
"158458","2013-01-25","2013-03-07","2013","21","8","29","Y","","1","100","0.00","2.06","-2"
"158459","2013-01-25","2013-02-21","2013","10","9","19","U","","0","0","0.00","2.38","-2"
"158460","2013-01-25","2013-01-28","2013","1","0","1","N","N","0","0","0.00","0.58","-1"
"158461","2013-01-25","2013-01-28","2013","0","1","1","U","","0","0","0.00","2.82","-3"
"158462","2013-01-25","2013-05-21","2013","4","78","82","U","","0","0","0.00","2.39","-2"
"158463","2013-01-25","2013-03-13","2013","18","15","33","N","N","0","0","0.00","0.66","-1"
"158464","2013-01-25","2013-02-25","2013","21","0","21","U","","0","0","0.00","6.46","-6"
"158465","2013-01-25","2016-01-21","2016","767","12","779","U","","0","0","0.00","0.00","0"
"158466","2013-01-25","2013-01-25","2013","0","0","0","N","N","0","0","0.00","0.50","-0"
"158467","2013-01-25","2013-07-10","2013","14","104","118","Y","N","4","440","0.00","3.31","-3"
"158468","2013-01-25","2013-01-25","2013","0","0","0","N","N","0","0","0.00","90.89","-91"
"158469","2013-01-25","2013-01-28","2013","0","1","1","N","N","0","0","0.00","0.25","-0"
"158470","2013-01-25","2013-01-28","2013","0","1","1","N","N","0","0","0.00","0.58","-1"
"158471","2013-01-25","2013-01-25","2013","0","0","0","N","N","0","0","0.00","0.16","-0"
"158472","2013-01-25","2013-03-13","2013","1","32","33","U","","0","0","0.00","2.49","-2"
"158473","2013-01-25","2013-01-29","2013","1","1","2","N","N","0","0","0.00","0.57","-1"
"158474","2013-01-27","2013-01-28","2013","1","0","1","Y","Y","0","4,400","0.00","0.00","0"
"158475","2013-01-28","2013-01-29","2013","1","0","1","N","N","0","0","0.00","0.49","-0"
"158478","2013-01-28","2013-02-12","2013","9","2","11","Y","","8","880","0.00","7.14","-7"
"158479","2013-01-28","2013-07-10","2013","23","72","95","N","N","0","0","0.00","1.73","-2"
"158480","2013-01-28","2013-02-06","2013","0","7","7","N","N","0","0","0.00","0.66","-1"
"158481","2013-01-28","2013-07-19","2013","88","36","124","U","","0","0","0.00","1.91","-2"
"158482","2013-01-28","2013-01-28","2013","0","0","0","N","N","0","0","0.00","0.66","-1"
"158483","2013-01-28","2013-01-28","2013","0","0","0","N","","0","0","0.00","0.00","0"
"158484","2013-01-28","2013-05-22","2013","46","36","82","N","N","0","0","0.00","1.23","-1"
"158485","2013-01-28","2013-02-28","2013","14","9","23","Y","","2","200","0.00","0.74","-1"
"158486","2013-01-28","2013-02-07","2013","1","7","8","U","","0","0","0.00","0.82","-1"
"158487","2013-01-29","2013-05-09","2013","48","24","72","U","","0","0","0.00","6.47","-6"
"158488","2013-01-29","2013-02-01","2013","0","3","3","U","","0","0","0.00","2.99","-3"
"158489","2013-01-29","2013-01-30","2013","0","1","1","N","N","0","0","0.00","0.57","-1"
"158490","2013-01-29","2013-02-04","2013","2","2","4","N","N","0","0","0.00","0.24","-0"
"158491","2013-01-29","2013-01-29","2013","0","0","0","N","N","0","0","0.00","0.41","-0"
"158492","2013-01-29","2013-02-27","2013","0","21","21","U","","0","0","0.00","1.81","-2"
"158493","2013-01-29","2013-01-29","2013","0","0","0","R","N","1","712","0.00","0.00","0"
"158494","2013-01-29","2013-03-13","2013","1","30","31","N","N","0","0","0.00","0.58","-1"
"158495","2013-01-29","2016-04-07","2016","832","0","832","R","N","1","100","0.00","0.16","-0"
"158496","2013-01-29","2013-01-29","2013","0","0","0","Y","N","6","741","0.00","0.00","0"
"158497","2013-01-29","2013-01-31","2013","0","2","2","U","","0","0","0.00","0.25","-0"
"158498","2013-01-29","2013-01-29","2013","0","0","0","N","N","0","0","0.00","0.83","-1"
"158499","2013-01-29","2013-01-31","2013","0","2","2","N","N","0","0","0.00","1.33","-1"
"158500","2013-01-29","2013-05-15","2013","76","0","76","N","N","0","0","0.00","2.77","-3"
"158501","2013-01-29","2013-01-31","2013","0","2","2","N","N","0","0","0.00","0.83","-1"
"158502","2013-01-29","2013-02-05","2013","0","5","5","N","N","0","0","0.00","0.66","-1"
"158503","2013-01-29","2013-01-30","2013","0","1","1","N","N","0","0","0.00","0.90","-1"
"158504","2013-01-29","2013-02-28","2013","0","22","22","N","N","0","0","0.00","0.49","-0"
"158505","2013-01-30","2013-02-22","2013","5","12","17","R","","1","100","0.00","0.41","-0"
"158506","2013-01-30","2013-03-20","2013","1","34","35","Y","","1","100","0.00","0.00","0"
"158507","2013-01-30","2013-02-07","2013","1","5","6","Y","","6","600","0.00","6.48","-6"
"158508","2013-01-30","2013-02-27","2013","20","0","20","U","","0","0","0.00","0.50","-0"
"158509","2013-01-30","2013-02-11","2013","8","0","8","N","N","0","0","0.00","0.00","0"
"158510","2013-01-30","2013-01-30","2013","0","0","0","N","N","0","0","0.00","0.91","-1"
"158511","2013-01-30","2013-01-30","2013","0","0","0","N","N","0","0","0.00","0.33","-0"
"158512","2013-01-30","2013-03-20","2013","0","35","35","U","","0","0","0.00","1.49","-1"
"158513","2013-01-30","2013-03-07","2013","10","16","26","U","","0","0","0.00","0.25","-0"
"158514","2013-01-30","2013-01-30","2013","0","0","0","N","N","0","0","0.00","0.16","-0"
"158515","2013-01-30","2013-04-10","2013","15","35","50","N","N","0","0","0.00","0.32","-0"
"158516","2013-01-30","2013-03-21","2013","9","27","36","Y","N","1","100","0.00","1.58","-2"
"158517","2013-01-31","2013-04-05","2013","17","29","46","Y","","3","300","0.00","1.06","-1"
"158518","2013-01-31","2013-03-06","2013","0","24","24","U","","0","0","0.00","1.83","-2"
"158519","2013-01-31","2013-01-31","2013","0","0","0","N","N","0","0","0.00","0.33","-0"
"158520","2013-01-31","2013-06-05","2013","36","53","89","U","","0","0","0.00","2.41","-2"
"158521","2013-01-31","2013-02-06","2013","1","3","4","N","N","0","0","0.00","2.90","-3"
"158522","2013-01-31","2013-03-20","2013","0","34","34","U","","0","0","0.00","0.16","-0"
"158523","2013-01-31","2013-02-04","2013","0","2","2","N","N","0","0","0.00","0.83","-1"
"158524","2013-01-31","2013-02-01","2013","1","0","1","N","N","0","0","0.00","0.33","-0"
"158525","2013-01-31","2013-02-27","2013","0","19","19","N","N","0","0","0.00","1.08","-1"
"158526","2013-01-31","2013-02-01","2013","1","0","1","N","N","0","0","0.00","0.57","-1"
"158527","2013-01-31","2013-02-01","2013","1","0","1","R","","1","116","0.00","0.00","0"
"158528","2013-02-01","2013-03-20","2013","17","16","33","Y","","2","200","0.00","3.64","-4"
"158529","2013-02-01","2013-02-05","2013","1","1","2","U","","0","0","0.00","0.66","-1"
"158530","2013-02-01","2013-03-27","2013","2","36","38","R","","50","8,640","0.00","0.58","-1"
"158531","2013-02-01","2013-02-01","2013","0","0","0","N","N","0","0","0.00","0.66","-1"
"158532","2013-02-01","2013-02-12","2013","2","5","7","Y","N","1","110","0.00","1.50","-2"
"158533","2013-02-01","2013-02-13","2013","0","8","8","N","N","0","0","0.00","0.49","-0"
"158534","2013-02-01","2013-09-17","2013","162","0","162","N","Y","0","0","0.00","3.66","-4"
"158535","2013-02-01","2013-02-01","2013","0","0","0","N","N","0","0","0.00","0.83","-1"
"158536","2013-02-01","2013-03-27","2013","3","35","38","Y","N","1","132","0.00","0.33","-0"
"158537","2013-02-01","2013-05-23","2013","79","0","79","N","","0","0","0.00","0.16","-0"
"158538","2013-02-01","2013-02-01","2013","0","0","0","N","N","0","0","0.00","0.58","-1"
"158539","2013-02-01","2013-03-07","2013","15","9","24","N","N","0","0","0.00","4.07","-4"
"158540","2013-02-01","2013-02-04","2013","1","0","1","N","N","0","0","0.00","0.00","0"
"158541","2013-02-01","2013-04-03","2013","11","32","43","N","N","0","0","0.00","2.50","-2"
"158542","2013-02-01","2013-07-03","2013","3","84","87","N","N","0","0","0.00","3.89","-4"
"158543","2013-02-01","2013-02-05","2013","1","1","2","N","N","0","0","0.00","0.91","-1"
"158544","2013-02-01","2013-02-01","2013","0","0","0","N","N","0","0","0.00","0.16","-0"
"158545","2013-02-01","2013-10-23","2013","113","75","188","N","N","0","0","0.00","1.47","-1"
"158546","2013-02-01","2013-03-06","2013","3","20","23","N","N","0","0","0.00","1.82","-2"
"158547","2013-02-04","2013-03-19","2013","11","20","31","U","","0","0","0.00","3.82","-4"
"158548","2013-02-04","2013-02-19","2013","10","1","11","U","","0","0","0.00","2.41","-2"
"158549","2013-02-04","2013-03-18","2013","4","26","30","N","N","0","0","0.00","4.40","-4"
"158550","2013-02-04","2013-02-04","2013","0","0","0","N","N","0","0","0.00","0.50","-0"
"158551","2013-02-04","2014-03-17","2014","105","166","271","Y","","1","110","0.00","3.11","-3"
"158552","2013-02-04","2013-02-04","2013","0","0","0","N","N","0","0","0.00","0.00","0"
"158568","2013-02-04","2013-02-04","2013","0","0","0","N","N","0","0","0.00","0.00","0"
"158570","2013-02-04","2013-03-05","2013","20","1","21","N","N","0","0","0.00","3.23","-3"
"158571","2013-02-04","2013-07-19","2013","96","23","119","U","","0","0","0.00","3.32","-3"
"158572","2013-02-04","2013-02-21","2013","2","11","13","N","N","0","0","0.00","1.46","-1"
"158573","2013-02-04","2013-02-06","2013","1","1","2","N","N","0","0","0.00","2.06","-2"
"158574","2013-02-04","2013-02-14","2013","8","0","8","N","N","0","0","0.00","0.41","-0"
"158575","2013-02-04","2013-02-04","2013","0","0","0","U","","0","0","0.00","0.41","-0"
"158576","2013-02-04","2013-02-07","2013","3","0","3","N","N","0","0","0.00","4.39","-4"
"158577","2013-02-05","2013-03-07","2013","1","21","22","R","","1","100","0.00","0.00","0"
"158578","2013-02-05","2013-03-18","2013","1","28","29","N","","0","0","0.00","0.25","-0"
"158579","2013-02-05","2013-05-01","2013","25","36","61","Y","","1","100","0.00","1.90","-2"
"158580","2013-02-05","2013-03-12","2013","0","25","25","U","","0","0","0.00","0.82","-1"
"158581","2013-02-05","2013-02-19","2013","5","5","10","U","","0","0","0.00","0.16","-0"
